OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_NUM,Shape_Length,Shape_Area,CouncilDistrict
1,48,029,121000,48029121000,1210,Census Tract 1210,G5020,S,6640253.000000000000000,33515.000000000000000,+29.5322204,-098.4454653,48029121000.000000000000000,39167.261548821865290,71816716.305287674069405,10
2,48,029,161400,48029161400,1614,Census Tract 1614,G5020,S,11020658.000000000000000,0.000000000000000,+29.3866196,-098.6178562,48029161400.000000000000000,55945.305572116783878,118592535.587097898125648,
3,48,029,190700,48029190700,1907,Census Tract 1907,G5020,S,1461126.000000000000000,0.000000000000000,+29.4774628,-098.4955937,48029190700.000000000000000,18805.126556936334964,15723152.940346268936992,1
4,48,029,110100,48029110100,1101,Census Tract 1101,G5020,S,3533513.000000000000000,13720.000000000000000,+29.4270068,-098.4905375,48029110100.000000000000000,26073.240654663346504,38171612.424995116889477,1
5,48,029,120800,48029120800,1208,Census Tract 1208,G5020,S,4839676.000000000000000,0.000000000000000,+29.5051691,-098.4462690,48029120800.000000000000000,27895.614932944234170,52079885.418406493961811,10
6,48,029,120701,48029120701,1207.01,Census Tract 1207.01,G5020,S,3419319.000000000000000,0.000000000000000,+29.5128694,-098.4694577,48029120701.000000000000000,27583.222541422041104,36795411.118827193975449,10
7,48,029,120901,48029120901,1209.01,Census Tract 1209.01,G5020,S,1924551.000000000000000,6483.000000000000000,+29.5220154,-098.4373700,48029120901.000000000000000,23290.140435260582308,20779937.307351060211658,10
8,48,029,120702,48029120702,1207.02,Census Tract 1207.02,G5020,S,3232519.000000000000000,52344.000000000000000,+29.5006977,-098.4717520,48029120702.000000000000000,25881.591854324389715,35348455.801747597754002,10
9,48,029,120902,48029120902,1209.02,Census Tract 1209.02,G5020,S,4687254.000000000000000,16619.000000000000000,+29.5050630,-098.4248500,48029120902.000000000000000,35324.371174755026004,50618465.045836970210075,2
10,48,029,141800,48029141800,1418,Census Tract 1418,G5020,S,72820626.000000000000000,5819571.000000000000000,+29.2558402,-098.3627182,48029141800.000000000000000,172673.724739263619995,846242939.163416862487793,
11,48,029,170102,48029170102,1701.02,Census Tract 1701.02,G5020,S,1157141.000000000000000,65856.000000000000000,+29.4325252,-098.5195280,48029170102.000000000000000,14806.893252120764373,13160644.972653415054083,5
12,48,029,130800,48029130800,1308,Census Tract 1308,G5020,S,8492765.000000000000000,19394.000000000000000,+29.4320140,-098.4269439,48029130800.000000000000000,59393.368235346126312,91599005.267880886793137,2
13,48,029,190100,48029190100,1901,Census Tract 1901,G5020,S,1650993.000000000000000,0.000000000000000,+29.4481242,-098.5070960,48029190100.000000000000000,17657.885371682521509,17766323.010656241327524,1
14,48,029,121110,48029121110,1211.10,Census Tract 1211.10,G5020,S,4523691.000000000000000,19688.000000000000000,+29.5839096,-098.4146871,48029121110.000000000000000,31377.649373766158533,48891855.184716075658798,10
15,48,029,121111,48029121111,1211.11,Census Tract 1211.11,G5020,S,3787806.000000000000000,4216.000000000000000,+29.5676254,-098.3987467,48029121111.000000000000000,33037.716813007544260,40806335.641044653952122,10
16,48,029,121112,48029121112,1211.12,Census Tract 1211.12,G5020,S,4977305.000000000000000,157432.000000000000000,+29.5506479,-098.4207674,48029121112.000000000000000,36849.860862158428063,55255308.020484402775764,10
17,48,029,110600,48029110600,1106,Census Tract 1106,G5020,S,1963565.000000000000000,11034.000000000000000,+29.4292110,-098.5078374,48029110600.000000000000000,20380.077374480628350,21248515.302980348467827,5
18,48,029,110700,48029110700,1107,Census Tract 1107,G5020,S,981619.000000000000000,0.000000000000000,+29.4393895,-098.5040375,48029110700.000000000000000,17001.825818343884748,10563156.724481726065278,1
19,48,029,110500,48029110500,1105,Census Tract 1105,G5020,S,1162412.000000000000000,105494.000000000000000,+29.4170710,-098.5090798,48029110500.000000000000000,16037.221949972506991,13643929.782126253470778,5
20,48,029,121108,48029121108,1211.08,Census Tract 1211.08,G5020,S,4175578.000000000000000,1526.000000000000000,+29.5677653,-098.4725428,48029121108.000000000000000,27387.786679361095594,44950271.859045259654522,9
21,48,029,120100,48029120100,1201,Census Tract 1201,G5020,S,13443911.000000000000000,12024.000000000000000,+29.4608965,-098.4383400,48029120100.000000000000000,76994.561716013908153,144798957.408799648284912,2
22,48,029,120300,48029120300,1203,Census Tract 1203,G5020,S,4752035.000000000000000,0.000000000000000,+29.4827827,-098.4680929,48029120300.000000000000000,32207.078730369132245,51136652.105962052941322,
23,48,029,121402,48029121402,1214.02,Census Tract 1214.02,G5020,S,4573412.000000000000000,19180.000000000000000,+29.4932430,-098.3675920,48029121402.000000000000000,31966.454391693241632,49420886.963712647557259,2
24,48,029,121403,48029121403,1214.03,Census Tract 1214.03,G5020,S,4425319.000000000000000,8119.000000000000000,+29.5033956,-098.3839005,48029121403.000000000000000,32875.132936563124531,47708285.037302948534489,2
25,48,029,121116,48029121116,1211.16,Census Tract 1211.16,G5020,S,3194649.000000000000000,903.000000000000000,+29.5836611,-098.4651552,48029121116.000000000000000,23677.815314637970005,34387742.181705094873905,9
