GEOID2010,CouncilDistrict
48029121000,10
48029161400,
48029190700,1
48029110100,1
48029120800,10
48029120701,10
48029120901,10
48029120702,10
48029120902,2
48029141800,
48029170102,5
48029130800,2
48029190100,1
48029121110,10
48029121111,10
48029121112,10
48029110600,5
48029110700,1
48029110500,5
48029121108,9
48029120100,2
48029120300,
48029121402,2
48029121403,2
48029121116,9
48029121117,9
48029121300,
48029141300,3
48029181303,8
48029182103,
48029130900,2
48029181602,6
48029160200,5
48029130200,2
48029190902,1
48029182101,
48029980002,5
48029111000,2
48029980001,
48029181503,7
48029121505,
48029121118,10
48029120400,
48029120501,2
48029140400,3
48029152000,3
48029151400,3
48029131601,
48029160702,5
48029121506,
48029161200,4
48029162001,
48029171100,5
48029171801,4
48029182102,
48029191804,
48029151900,3
48029151500,3
48029121205,10
48029121804,10
48029141900,
48029140600,3
48029180202,7
48029152100,
48029120502,2
48029120600,10
48029121203,2
48029121204,10
48029121206,10
48029121115,9
48029191806,9
48029121122,10
48029191413,9
48029191411,9
48029130402,2
48029131503,
48029121908,
48029110300,2
48029121803,10
48029121812,10
48029130300,2
48029130500,2
48029130600,2
48029130700,2
48029131000,2
48029121404,2
48029121501,
48029121504,
48029121507,
48029121508,
48029121601,
48029131504,2
48029980004,9
48029191813,9
48029121813,10
48029152202,
48029161503,4
48029181817,
48029191817,9
48029170600,7
48029170700,5
48029170800,5
48029170900,5
48029171000,5
48029171200,5
48029161000,4
48029161100,4
48029190603,1
48029191405,8
48029131613,
48029190604,1
48029181729,
48029161302,4
48029980100,4
48029161501,4
48029171700,6
48029171802,4
48029171902,6
48029171903,4
48029131609,
48029191815,9
48029161504,4
48029171602,6
48029171919,
48029171601,6
48029171922,
48029131700,
48029140100,2
48029140200,5
48029140300,3
48029140500,3
48029140700,3
48029140800,3
48029140900,3
48029141000,3
48029131200,3
48029141200,3
48029191814,
48029172006,
48029181822,7
48029181818,7
48029181821,7
48029181724,
48029181723,6
48029181726,
48029181721,7
48029181720,7
48029181826,7
48029181824,8
48029181823,8
48029181901,8
48029191202,1
48029191410,9
48029191701,
48029191201,1
48029131100,2
48029191412,9
48029161303,4
48029160901,5
48029181403,8
48029121119,10
48029121121,10
48029160501,5
48029191005,1
48029171915,4
48029171921,
48029171923,6
48029161902,
48029181725,6
48029161801,4
48029181722,6
48029181730,6
48029131507,2
48029131608,
48029121701,
48029121605,
48029131610,
48029131505,2
48029131614,
48029121904,9
48029191808,9
48029191810,
48029191304,1
48029151301,3
48029192100,5
48029192300,9
48029191900,2
48029131611,
48029171920,4
48029171913,4
48029171916,4
48029180101,7
48029171302,7
48029171501,5
48029192000,2
48029192200,3
48029191506,8
48029110900,1
48029110800,1
48029171914,4
48029171918,6
48029171925,6
48029181727,6
48029171924,6
48029980005,
48029191812,9
48029171402,5
48029171401,5
48029171917,4
48029172005,
48029181731,6
48029181728,
48029180102,7
48029180604,7
48029191006,1
48029181404,8
48029191505,8
48029172004,
48029181815,8
48029181813,8
48029121905,9
48029172003,
48029191503,8
48029191504,
48029181820,8
48029181814,8
48029181816,8
48029181819,8
48029161600,4
48029980003,
48029170101,5
48029170200,5
48029170300,5
48029170401,5
48029170402,5
48029170500,1
48029171912,6
48029172002,
48029180201,1
48029180300,7
48029180400,7
48029180501,7
48029180504,7
48029180602,7
48029180701,7
48029180702,7
48029180503,7
48029180800,
48029180901,1
48029180902,1
48029181001,1
48029181003,8
48029181004,8
48029181005,1
48029181100,1
48029181200,1
48029181301,8
48029181302,8
48029181402,8
48029181504,7
48029181505,
48029181506,
48029181601,7
48029181703,7
48029181704,
48029181705,
48029181711,7
48029181712,6
48029181713,6
48029181715,6
48029181716,6
48029181718,7
48029181809,8
48029121604,
48029121802,10
48029191816,9
48029121120,10
48029191303,9
48029121906,9
48029182105,
48029182106,
48029131615,2
48029191702,9
48029121809,10
48029121811,10
48029121910,10
48029191809,
48029131802,
48029152201,
48029162004,
48029162003,
48029171502,6
48029171301,5
48029172007,
48029180603,7
48029191807,8
48029182002,8
48029181825,7
48029182001,8
48029181902,8
48029191811,9
48029121808,10
48029121903,9
48029121907,
48029131801,
48029141403,3
48029182003,8
48029121909,10
48029151100,4
48029160100,5
48029160300,5
48029160400,5
48029160600,5
48029160701,5
48029141101,3
48029131401,2
48029141102,3
48029141404,3
48029151302,3
48029160902,5
48029121606,
48029161304,4
48029161901,
48029160502,5
48029161802,4
48029131506,2
48029130401,2
48029121702,
48029131402,2
48029121810,10
48029131612,
48029151200,4
48029151600,3
48029151700,3
48029181811,7
48029190200,1
48029190400,1
48029190501,1
48029190601,1
48029190800,
48029190901,1
48029191003,1
48029191004,1
48029191101,
48029191102,
48029191406,9
48029191408,9
48029191409,9
48029181808,8
48029190504,1
48029190503,1
48029131606,
48029131300,3
48029141402,3
48029141600,3
48029141700,3
48029150100,5
48029150300,3
48029150400,5
48029150501,5
48029150502,5
48029150600,3
48029150700,3
48029150800,3
48029150900,3
48029151000,3
