GEOID20,SSA,CouncilDistrict
48029110100,1,1
48029110300,5,2
48029110500,7,5
48029110600,2,5
48029110700,2,1
48029111000,5,2
48029111100,1,1
48029120100,16,2
48029120301,14,
48029120302,14,
48029120401,15,
48029120402,15,
48029120502,16,2
48029120503,16,2
48029120504,16,2
48029120601,30,10
48029120602,30,10
48029120701,49,10
48029120702,12,10
48029120800,29,10
48029120901,49,10
48029120902,30,2
48029121000,49,10
48029121110,66,10
48029121111,50,10
48029121112,49,10
48029121115,48,9
48029121116,48,9
48029121117,48,9
48029121118,65,10
48029121119,48,10
48029121120,49,10
48029121121,66,10
48029121122,66,10
48029121123,48,9
48029121124,48,9
48029121203,50,2
48029121204,30,10
48029121205,50,10
48029121206,50,10
48029121300,51,
48029121402,31,2
48029121403,31,2
48029121404,31,2
48029121501,69,
48029121504,51,
48029121505,69,
48029121506,51,
48029121507,51,
48029121508,31,
48029121601,69,
48029121604,69,
48029121605,69,
48029121606,69,
48029121701,89,
48029121702,89,
48029121802,68,10
48029121803,68,10
48029121804,67,10
48029121808,67,10
48029121809,67,10
48029121810,66,10
48029121811,66,10
48029121812,68,10
48029121813,68,10
48029121903,88,9
48029121904,88,9
48029121905,65,9
48029121906,65,9
48029121908,87,
48029121909,89,10
48029121910,88,10
48029121911,88,
48029121912,88,
48029130200,5,2
48029130300,5,2
48029130401,5,2
48029130402,17,2
48029130500,17,2
48029130600,17,2
48029130700,5,2
48029130800,32,2
48029130900,32,2
48029131000,32,2
48029131100,33,2
48029131200,33,3
48029131300,33,3
48029131401,54,2
48029131402,54,2
48029131503,31,
48029131504,31,2
48029131505,53,2
48029131506,53,2
48029131507,53,2
48029131601,70,
48029131606,70,
48029131608,70,
48029131609,52,
48029131610,70,
48029131612,70,
48029131614,52,
48029131615,52,2
48029131616,52,
48029131700,70,
48029131801,71,
48029131802,71,
48029140100,6,2
48029140200,19,5
48029140300,19,3
48029140400,18,3
48029140500,18,3
48029140600,34,3
48029140700,18,3
48029140800,18,3
48029140900,18,3
48029141000,34,3
48029141101,35,3
48029141102,35,3
48029141200,34,3
48029141300,34,3
48029141402,73,3
48029141403,34,3
48029141404,34,3
48029141600,73,3
48029141700,73,3
48029141800,72,
48029141900,71,
48029150100,19,5
48029150300,19,3
48029150400,20,5
48029150501,20,5
48029150502,20,5
48029150600,36,3
48029150700,36,3
48029150800,35,3
48029150900,36,3
48029151000,36,3
48029151100,37,4
48029151200,37,4
48029151301,37,3
48029151302,73,3
48029151400,36,3
48029151500,36,3
48029151600,36,3
48029151700,73,3
48029151900,73,3
48029152000,73,3
48029152100,74,
48029152201,72,
48029152202,72,
48029160100,7,5
48029160200,20,5
48029160300,20,5
48029160400,20,5
48029160501,7,5
48029160502,21,5
48029160600,21,5
48029160701,21,5
48029160702,21,5
48029160901,20,5
48029160902,37,5
48029161000,37,4
48029161100,37,4
48029161200,74,4
48029161302,55,4
48029161303,55,4
48029161304,55,4
48029161400,56,
48029161501,55,4
48029161503,55,4
48029161504,55,4
48029161600,56,4
48029161801,38,4
48029161802,75,4
48029161901,75,
48029161902,75,
