GEOID10,NAMELSAD,SSA_ID
48029121000,Census Tract 1210,49
48029161400,Census Tract 1614,56
48029190700,Census Tract 1907,12
48029110100,Census Tract 1101,1
48029120800,Census Tract 1208,29
48029120701,Census Tract 1207.01,49
48029120901,Census Tract 1209.01,49
48029120702,Census Tract 1207.02,12
48029120902,Census Tract 1209.02,30
48029141800,Census Tract 1418,72
48029170102,Census Tract 1701.02,8
48029130800,Census Tract 1308,32
48029190100,Census Tract 1901,2
48029121110,Census Tract 1211.10,66
48029121111,Census Tract 1211.11,50
48029121112,Census Tract 1211.12,49
48029110600,Census Tract 1106,2
48029110700,Census Tract 1107,2
48029110500,Census Tract 1105,7
48029121108,Census Tract 1211.08,48
48029120100,Census Tract 1201,16
48029120300,Census Tract 1203,14
48029121402,Census Tract 1214.02,31
48029121403,Census Tract 1214.03,31
48029121116,Census Tract 1211.16,48
48029121117,Census Tract 1211.17,48
48029121300,Census Tract 1213,51
48029141300,Census Tract 1413,34
48029181303,Census Tract 1813.03,26
48029182103,Census Tract 1821.03,84
48029130900,Census Tract 1309,32
48029181602,Census Tract 1816.02,58
48029160200,Census Tract 1602,20
48029130200,Census Tract 1302,5
48029190902,Census Tract 1909.02,12
48029182101,Census Tract 1821.01,85
48029980002,Census Tract 9800.02,101
48029111000,Census Tract 1110,5
48029980001,Census Tract 9800.01,102
48029181503,Census Tract 1815.03,43
48029121505,Census Tract 1215.05,69
48029121118,Census Tract 1211.18,65
48029120400,Census Tract 1204,15
48029120501,Census Tract 1205.01,16
48029140400,Census Tract 1404,18
48029152000,Census Tract 1520,73
48029151400,Census Tract 1514,36
48029131601,Census Tract 1316.01,70
48029160702,Census Tract 1607.02,21
48029121506,Census Tract 1215.06,51
48029161200,Census Tract 1612,74
48029162001,Census Tract 1620.01,74
48029171100,Census Tract 1711,39
48029171801,Census Tract 1718.01,57
48029182102,Census Tract 1821.02,85
48029191804,Census Tract 1918.04,87
48029151900,Census Tract 1519,73
48029151500,Census Tract 1515,36
48029121205,Census Tract 1212.05,50
48029121804,Census Tract 1218.04,67
48029141900,Census Tract 1419,71
48029140600,Census Tract 1406,34
48029180202,Census Tract 1802.02,10
48029152100,Census Tract 1521,74
48029120502,Census Tract 1205.02,16
48029120600,Census Tract 1206,30
48029121203,Census Tract 1212.03,50
48029121204,Census Tract 1212.04,30
48029121206,Census Tract 1212.06,50
48029121115,Census Tract 1211.15,48
48029191806,Census Tract 1918.06,63
48029121122,Census Tract 1211.22,66
48029191413,Census Tract 1914.13,62
48029191411,Census Tract 1914.11,47
48029130402,Census Tract 1304.02,17
48029131503,Census Tract 1315.03,31
48029121908,Census Tract 1219.08,87
48029110300,Census Tract 1103,5
48029121803,Census Tract 1218.03,68
48029121812,Census Tract 1218.12,68
48029130300,Census Tract 1303,5
48029130500,Census Tract 1305,17
48029130600,Census Tract 1306,17
48029130700,Census Tract 1307,5
48029131000,Census Tract 1310,32
48029121404,Census Tract 1214.04,31
48029121501,Census Tract 1215.01,69
48029121504,Census Tract 1215.04,51
48029121507,Census Tract 1215.07,51
48029121508,Census Tract 1215.08,31
48029121601,Census Tract 1216.01,69
48029131504,Census Tract 1315.04,31
48029980004,Census Tract 9800.04,100
48029191813,Census Tract 1918.13,65
48029121813,Census Tract 1218.13,68
48029152202,Census Tract 1522.02,72
48029161503,Census Tract 1615.03,55
48029181817,Census Tract 1818.17,42
48029191817,Census Tract 1918.17,65
48029170600,Census Tract 1706,9
48029170700,Census Tract 1707,22
48029170800,Census Tract 1708,39
48029170900,Census Tract 1709,22
48029171000,Census Tract 1710,22
48029171200,Census Tract 1712,39
48029161000,Census Tract 1610,37
48029161100,Census Tract 1611,37
48029190603,Census Tract 1906.03,3
48029191405,Census Tract 1914.05,62
48029131613,Census Tract 1316.13,52
48029190604,Census Tract 1906.04,3
48029181729,Census Tract 1817.29,91
48029161302,Census Tract 1613.02,55
48029980100,Census Tract 9801,38
48029161501,Census Tract 1615.01,55
48029171700,Census Tract 1717,58
48029171802,Census Tract 1718.02,57
48029171902,Census Tract 1719.02,78
48029171903,Census Tract 1719.03,57
