GEOID20,NAMELSAD20,SSA
48029110100,Census Tract,1
48029110300,Census Tract,5
48029110500,Census Tract,7
48029110600,Census Tract,2
48029110700,Census Tract,2
48029111000,Census Tract,5
48029111100,Census Tract,1
48029120100,Census Tract,16
48029120301,Census Tract,14
48029120302,Census Tract,14
48029120401,Census Tract,15
48029120402,Census Tract,15
48029120502,Census Tract,16
48029120503,Census Tract,16
48029120504,Census Tract,16
48029120601,Census Tract,30
48029120602,Census Tract,30
48029120701,Census Tract,49
48029120702,Census Tract,12
48029120800,Census Tract,29
48029120901,Census Tract,49
48029120902,Census Tract,30
48029121000,Census Tract,49
48029121110,Census Tract,66
48029121111,Census Tract,50
48029121112,Census Tract,49
48029121115,Census Tract,48
48029121116,Census Tract,48
48029121117,Census Tract,48
48029121118,Census Tract,65
48029121119,Census Tract,48
48029121120,Census Tract,49
48029121121,Census Tract,66
48029121122,Census Tract,66
48029121123,Census Tract,48
48029121124,Census Tract,48
48029121203,Census Tract,50
48029121204,Census Tract,30
48029121205,Census Tract,50
48029121206,Census Tract,50
48029121300,Census Tract,51
48029121402,Census Tract,31
48029121403,Census Tract,31
48029121404,Census Tract,31
48029121501,Census Tract,69
48029121504,Census Tract,51
48029121505,Census Tract,69
48029121506,Census Tract,51
48029121507,Census Tract,51
48029121508,Census Tract,31
48029121601,Census Tract,69
48029121604,Census Tract,69
48029121605,Census Tract,69
48029121606,Census Tract,69
48029121701,Census Tract,89
48029121702,Census Tract,89
48029121802,Census Tract,68
48029121803,Census Tract,68
48029121804,Census Tract,67
48029121808,Census Tract,67
48029121809,Census Tract,67
48029121810,Census Tract,66
48029121811,Census Tract,66
48029121812,Census Tract,68
48029121813,Census Tract,68
48029121903,Census Tract,88
48029121904,Census Tract,88
48029121905,Census Tract,65
48029121906,Census Tract,65
48029121908,Census Tract,87
48029121909,Census Tract,89
48029121910,Census Tract,88
48029121911,Census Tract,88
48029121912,Census Tract,88
48029130200,Census Tract,5
48029130300,Census Tract,5
48029130401,Census Tract,5
48029130402,Census Tract,17
48029130500,Census Tract,17
48029130600,Census Tract,17
48029130700,Census Tract,5
48029130800,Census Tract,32
48029130900,Census Tract,32
48029131000,Census Tract,32
48029131100,Census Tract,33
48029131200,Census Tract,33
48029131300,Census Tract,33
48029131401,Census Tract,54
48029131402,Census Tract,54
48029131503,Census Tract,31
48029131504,Census Tract,31
48029131505,Census Tract,53
48029131506,Census Tract,53
48029131507,Census Tract,53
48029131601,Census Tract,70
48029131606,Census Tract,70
48029131608,Census Tract,70
48029131609,Census Tract,52
48029131610,Census Tract,70
48029131612,Census Tract,70
48029131614,Census Tract,52
48029131615,Census Tract,52
48029131616,Census Tract,52
48029131700,Census Tract,70
48029131801,Census Tract,71
48029131802,Census Tract,71
48029140100,Census Tract,6
48029140200,Census Tract,19
48029140300,Census Tract,19
48029140400,Census Tract,18
48029140500,Census Tract,18
48029140600,Census Tract,34
48029140700,Census Tract,18
48029140800,Census Tract,18
48029140900,Census Tract,18
48029141000,Census Tract,34
48029141101,Census Tract,35
48029141102,Census Tract,35
48029141200,Census Tract,34
48029141300,Census Tract,34
48029141402,Census Tract,73
48029141403,Census Tract,34
48029141404,Census Tract,34
48029141600,Census Tract,73
48029141700,Census Tract,73
48029141800,Census Tract,72
48029141900,Census Tract,71
48029150100,Census Tract,19
48029150300,Census Tract,19
48029150400,Census Tract,20
48029150501,Census Tract,20
48029150502,Census Tract,20
48029150600,Census Tract,36
48029150700,Census Tract,36
48029150800,Census Tract,35
48029150900,Census Tract,36
48029151000,Census Tract,36
48029151100,Census Tract,37
48029151200,Census Tract,37
48029151301,Census Tract,37
48029151302,Census Tract,73
48029151400,Census Tract,36
48029151500,Census Tract,36
48029151600,Census Tract,36
48029151700,Census Tract,73
48029151900,Census Tract,73
48029152000,Census Tract,73
48029152100,Census Tract,74
48029152201,Census Tract,72
48029152202,Census Tract,72
48029160100,Census Tract,7
48029160200,Census Tract,20
48029160300,Census Tract,20
48029160400,Census Tract,20
48029160501,Census Tract,7
48029160502,Census Tract,21
48029160600,Census Tract,21
48029160701,Census Tract,21
48029160702,Census Tract,21
48029160901,Census Tract,20
48029160902,Census Tract,37
48029161000,Census Tract,37
48029161100,Census Tract,37
48029161200,Census Tract,74
48029161302,Census Tract,55
48029161303,Census Tract,55
48029161304,Census Tract,55
48029161400,Census Tract,56
48029161501,Census Tract,55
48029161503,Census Tract,55
48029161504,Census Tract,55
48029161600,Census Tract,56
48029161801,Census Tract,38
48029161802,Census Tract,75
48029161901,Census Tract,75
48029161902,Census Tract,75
48029162001,Census Tract,74
48029162003,Census Tract,74
48029162004,Census Tract,75
48029170101,Census Tract,8
48029170102,Census Tract,8
48029170200,Census Tract,8
48029170300,Census Tract,22
48029170401,Census Tract,8
48029170402,Census Tract,22
48029170500,Census Tract,9
48029170600,Census Tract,9
48029170700,Census Tract,22
48029170800,Census Tract,39
48029170900,Census Tract,22
48029171000,Census Tract,22
48029171100,Census Tract,39
48029171200,Census Tract,39
48029171301,Census Tract,22
48029171302,Census Tract,22
48029171401,Census Tract,40
48029171402,Census Tract,40
48029171501,Census Tract,39
48029171502,Census Tract,39
48029171601,Census Tract,38
48029171602,Census Tract,38
48029171700,Census Tract,58
48029171801,Census Tract,57
48029171802,Census Tract,57
48029171903,Census Tract,57
48029171912,Census Tract,79
48029171913,Census Tract,77
48029171914,Census Tract,77
48029171915,Census Tract,77
48029171916,Census Tract,76
48029171917,Census Tract,77
48029171918,Census Tract,78
48029171919,Census Tract,76
48029171920,Census Tract,76
48029171921,Census Tract,76
48029171922,Census Tract,76
48029171923,Census Tract,78
48029171924,Census Tract,78
48029171926,Census Tract,78
48029171927,Census Tract,78
48029171928,Census Tract,79
48029171929,Census Tract,79
48029172002,Census Tract,90
48029172003,Census Tract,90
48029172004,Census Tract,91
48029172005,Census Tract,81
48029172006,Census Tract,91
48029172008,Census Tract,90
48029172009,Census Tract,90
48029180101,Census Tract,9
48029180102,Census Tract,9
48029180201,Census Tract,11
48029180202,Census Tract,10
48029180300,Census Tract,23
48029180400,Census Tract,23
48029180501,Census Tract,23
48029180503,Census Tract,40
48029180504,Census Tract,40
48029180602,Census Tract,10
48029180603,Census Tract,23
48029180604,Census Tract,23
48029180701,Census Tract,25
48029180702,Census Tract,41
